iter	Passed	Remaining
535	12397	10731
536	12420	10709
537	12440	10683
538	12461	10657
539	12481	10632
540	12508	10612
541	12535	10593
542	12559	10570
543	12579	10544
544	12599	10519
545	12620	10493
546	12641	10468
547	12661	10443
548	12683	10419
549	12713	10401
550	12737	10379
551	12758	10354
552	12778	10329
553	12799	10304
554	12820	10279
555	12840	10253
556	12862	10229
557	12892	10212
558	12916	10190
559	12937	10164
560	12957	10139
561	12978	10114
562	12998	10089
563	13018	10063
564	13038	10038
565	13065	10018
566	13094	9999
567	13117	9976
568	13138	9952
569	13158	9926
570	13179	9901
571	13200	9877
572	13222	9853
573	13246	9830
574	13271	9809
575	13297	9788
576	13318	9763
577	13338	9738
578	13358	9713
579	13379	9688
580	13399	9663
581	13420	9638
582	13444	9616
583	13491	9610
584	13513	9586
585	13533	9560
586	13553	9535
587	13574	9511
588	13594	9486
589	13615	9461
590	13639	9439
591	13661	9415
592	13690	9396
593	13714	9373
594	13734	9348
595	13755	9324
596	13776	9299
597	13796	9274
598	13816	9249
599	13840	9226
600	13863	9203
601	13889	9182
602	13911	9159
603	13931	9134
604	13952	9109
605	13973	9084
606	13993	9060
607	14014	9035
608	14036	9011
609	14058	8988
610	14087	8969
611	14109	8945
612	14130	8920
613	14150	8896
614	14171	8871
615	14194	8848
616	14221	8827
617	14246	8805
618	14273	8785
619	14293	8760
620	14313	8735
621	14334	8711
622	14355	8687
623	14376	8662
624	14398	8638
625	14420	8615
626	14453	8598
627	14476	8575
628	14497	8550
629	14518	8526
630	14538	8501
631	14558	8477
632	14587	8457
633	14626	8443
634	14653	8422
635	14673	8398
636	14696	8375
637	14723	8353
638	14745	8330
639	14771	8308
640	14802	8290
641	14833	8271
642	14855	8248
643	14880	8226
644	14902	8202
645	14924	8178
646	14948	8155
647	14979	8136
648	15009	8117
649	15031	8093
650	15053	8070
651	15080	8048
652	15102	8025
653	15128	8003
654	15156	7983
655	15192	7966
656	15216	7944
657	15239	7920
658	15263	7898
659	15286	7875
660	15318	7856
661	15361	7843
662	15386	7820
663	15407	7796
664	15432	7774
665	15454	7750
666	15475	7726
667	15510	7708
668	15535	7686
669	15564	7666
670	15586	7642
671	15608	7618
672	15636	7597
673	15674	7581
674	15712	7565
675	15737	7542
676	15758	7518
677	15789	7498
678	15810	7474
679	15834	7451
680	15862	7430
681	15898	7412
682	15923	7390
683	15950	7369
684	15975	7346
685	15997	7322
686	16023	7300
687	16054	7280
688	16096	7265
689	16121	7242
690	16142	7218
691	16170	7197
692	16194	7174
693	16226	7154
694	16271	7140
695	16301	7120
696	16326	7097
697	16348	7073
698	16375	7051
699	16403	7030
700	16437	7011
701	16464	6989
702	16486	6965
703	16493	6934
704	16515	6910
705	16538	6887
706	16564	6864
707	16592	6843
708	16620	6821
709	16645	6798
710	16669	6775
711	16690	6751
712	16712	6727
713	16734	6703
714	16762	6681
715	16795	6661
716	16819	6638
717	16841	6614
718	16869	6592
719	16891	6568
720	16919	6547
721	16942	6523
722	16976	6504
723	16999	6480
724	17022	6456
725	17049	6434
726	17072	6410
727	17096	6387
728	17119	6364
729	17147	6342
730	17172	6319
731	17196	6295
732	17217	6271
733	17239	6247
734	17262	6223
735	17286	6200
736	17317	6179
737	17350	6159
738	17375	6136
739	17405	6115
740	17434	6093
741	17456	6069
742	17481	6046
743	17503	6022
744	17543	6004
745	17566	5981
746	17588	5956
747	17611	5933
748	17636	5910
749	17659	5886
750	17692	5866
751	17724	5845
752	17748	5821
753	17769	5797
754	17792	5773
755	17813	5749
756	17835	5725
757	17857	5701
758	17886	5679
759	17912	5656
760	17936	5633
761	17958	5609
762	17980	5584
763	18002	5560
764	18023	5536
765	18044	5512
766	18075	5490
767	18104	5469
768	18129	5445
769	18150	5421
770	18171	5397
771	18193	5373
772	18214	5348
773	18241	5326
774	18266	5303
775	18294	5280
776	18315	5256
777	18336	5232
778	18358	5208
779	18379	5184
780	18401	5159
781	18430	5137
782	18470	5118
783	18494	5095
784	18515	5071
785	18535	5046
786	18555	5022
787	18575	4997
788	18597	4973
789	18605	4945
790	18630	4922
791	18657	4899
792	18681	4876
793	18701	4852
794	18722	4827
795	18742	4803
796	18762	4778
797	18783	4754
798	18805	4730
799	18832	4708
800	18865	4686
801	18886	4662
802	18906	4638
803	18926	4613
804	18946	4589
805	18967	4565
806	18989	4541
807	19012	4517
808	19046	4496
809	19066	4472
810	19087	4448
811	19107	4424
812	19127	4399
813	19148	4375
814	19175	4352
815	19207	4330
816	19244	4310
817	19265	4286
818	19285	4262
819	19306	4238
820	19327	4213
821	19352	4190
822	19374	4166
823	19398	4143
824	19425	4120
825	19448	4096
826	19469	4072
827	19490	4048
828	19511	4024
829	19532	4000
830	19563	3978
831	19594	3956
832	19614	3932
833	19635	3908
834	19656	3884
835	19676	3859
836	19696	3835
837	19720	3812
838	19743	3788
839	19770	3765
840	19793	3742
841	19813	3718
842	19834	3693
843	19854	3669
844	19875	3645
845	19902	3622
846	19928	3599
847	19956	3577
848	19986	3554
849	20016	3532
850	20039	3508
851	20060	3484
852	20083	3461
853	20118	3439
854	20151	3417
855	20178	3394
856	20200	3370
857	20224	3347
858	20249	3323
859	20273	3300
860	20310	3278
861	20333	3255
862	20355	3231
863	20377	3207
864	20404	3184
865	20429	3161
866	20452	3137
867	20481	3114
868	20508	3091
869	20531	3067
870	20555	3044
871	20576	3020
872	20597	2996
873	20619	2972
874	20642	2948
875	20674	2926
876	20699	2903
877	20719	2879
878	20740	2855
879	20760	2831
880	20781	2807
881	20801	2782
882	20828	2759
